Update 0: {'0': 0, '1': 0, '2': 0}
Update 228: {'0': -6.680421536587586, '1': -9.188813927486503, '2': -11.095751637296276}
Update 229: {'0': -6.6804557008607475, '1': -9.188848091759665, '2': -11.095785801569438}
Update 230: {'0': -6.6804884985629815, '1': -9.188880889461899, '2': -11.095818599271674}
Update 231: {'0': -6.680519984357127, '1': -9.188912375256045, '2': -11.095850085065818}
Update 232: {'0': -6.680550210719506, '1': -9.188942601618425, '2': -11.095880311428198}
Update 233: {'0': -6.680579228027392, '1': -9.18897161892631, '2': -11.095909328736083}
Update 234: {'0': -6.680607084642961, '1': -9.18899947554188, '2': -11.095937185351653}
Update 235: {'0': -6.680633826993908, '1': -9.189026217892827, '2': -11.095963927702599}
Update 236: {'0': -6.680659499650819, '1': -9.189051890549734, '2': -11.095989600359509}
Update 237: {'0': -6.680684145401449, '1': -9.18907653630037, '2': -11.09601424611014}
Update 238: {'0': -6.680707805322058, '1': -9.189100196220975, '2': -11.096037906030748}
Update 239: {'0': -6.680730518845841, '1': -9.189122909744757, '2': -11.096060619554532}
Update 240: {'0': -6.680752323828671, '1': -9.18914471472759, '2': -11.096082424537363}
Update 241: {'0': -6.68077325661219, '1': -9.189165647511107, '2': -11.096103357320882}
Update 242: {'0': -6.6807933520843665, '1': -9.189185742983286, '2': -11.096123452793059}
Update 243: {'0': -6.680812643737658, '1': -9.189205034636576, '2': -11.09614274444635}
Update 244: {'0': -6.680831163724816, '1': -9.189223554623736, '2': -11.096161264433508}
Update 245: {'0': -6.68084894291249, '1': -9.189241333811408, '2': -11.09617904362118}
Update 246: {'0': -6.680866010932656, '1': -9.189258401831573, '2': -11.096196111641346}
Update 247: {'0': -6.680882396232013, '1': -9.18927478713093, '2': -11.096212496940705}
Update 248: {'0': -6.680898126119397, '1': -9.189290517018316, '2': -11.096228226828089}
Update 249: {'0': -6.6809132268112865, '1': -9.189305617710204, '2': -11.096243327519979}
Update 250: {'0': -6.680927723475499, '1': -9.189320114374418, '2': -11.09625782418419}
Update 251: {'0': -6.680941640273145, '1': -9.189334031172063, '2': -11.096271740981836}
Update 252: {'0': -6.6809550003988845, '1': -9.189347391297801, '2': -11.096285101107576}
Update 253: {'0': -6.680967826119593, '1': -9.189360217018512, '2': -11.096297926828285}
Update 254: {'0': -6.680980138811476, '1': -9.189372529710393, '2': -11.096310239520166}
Update 255: {'0': -6.680991958995682, '1': -9.1893843498946, '2': -11.096322059704374}
Update 256: {'0': -6.681003306372521, '1': -9.189395697271438, '2': -11.096333407081211}
Update 257: {'0': -6.6810141998542845, '1': -9.189406590753201, '2': -11.096344300562976}
Update 258: {'0': -6.681024657596776, '1': -9.189417048495695, '2': -11.096354758305468}
Update 259: {'0': -6.68103469702957, '1': -9.18942708792849, '2': -11.09636479773826}
Update 260: {'0': -6.681044334885053, '1': -9.18943672578397, '2': -11.096374435593743}
Update 261: {'0': -6.681053587226316, '1': -9.189445978125233, '2': -11.096383687935006}
Update 262: {'0': -6.681062469473928, '1': -9.189454860372845, '2': -11.09639257018262}
Update 263: {'0': -6.681070996431634, '1': -9.189463387330553, '2': -11.096401097140326}
